Gene.stable.ID,Gene.type
ENSDARG00000063344,protein_coding
ENSDARG00000097685,protein_coding
ENSDARG00000036008,protein_coding
ENSDARG00000069301,protein_coding
ENSDARG00000104901,protein_coding
ENSDARG00000031836,protein_coding
ENSDARG00000103391,protein_coding
ENSDARG00000030463,protein_coding
ENSDARG00000103031,protein_coding
ENSDARG00000070447,protein_coding
ENSDARG00000080018,protein_coding
ENSDARG00000036109,protein_coding
ENSDARG00000029612,protein_coding
ENSDARG00000075759,protein_coding
ENSDARG00000057635,protein_coding
ENSDARG00000032737,protein_coding
ENSDARG00000053517,protein_coding
ENSDARG00000111826,protein_coding
ENSDARG00000092715,lincRNA
ENSDARG00000015793,protein_coding
ENSDARG00000044573,protein_coding
ENSDARG00000025206,protein_coding
ENSDARG00000042189,protein_coding
ENSDARG00000076270,protein_coding
ENSDARG00000045415,protein_coding
ENSDARG00000100099,protein_coding
ENSDARG00000087916,protein_coding
ENSDARG00000023058,protein_coding
ENSDARG00000100738,protein_coding
ENSDARG00000097888,lincRNA
ENSDARG00000067711,protein_coding
ENSDARG00000091834,protein_coding
ENSDARG00000068468,protein_coding
ENSDARG00000101806,protein_coding
ENSDARG00000078805,protein_coding
ENSDARG00000058893,protein_coding
ENSDARG00000088881,protein_coding
ENSDARG00000095893,protein_coding
ENSDARG00000062376,protein_coding
ENSDARG00000039490,protein_coding
ENSDARG00000020986,protein_coding
ENSDARG00000098626,protein_coding
ENSDARG00000089187,protein_coding
ENSDARG00000101165,protein_coding
ENSDARG00000003175,protein_coding
ENSDARG00000074846,protein_coding
ENSDARG00000026759,protein_coding
ENSDARG00000033099,protein_coding
ENSDARG00000024184,protein_coding
ENSDARG00000009341,protein_coding
ENSDARG00000100546,protein_coding
ENSDARG00000090804,protein_coding
ENSDARG00000016977,protein_coding
ENSDARG00000058538,protein_coding
ENSDARG00000102175,protein_coding
ENSDARG00000018153,protein_coding
ENSDARG00000054533,protein_coding
ENSDARG00000092243,lincRNA
ENSDARG00000038154,protein_coding
ENSDARG00000036420,protein_coding
ENSDARG00000098726,protein_coding
ENSDARG00000098677,protein_coding
ENSDARG00000037652,protein_coding
ENSDARG00000027963,protein_coding
ENSDARG00000097726,protein_coding
ENSDARG00000105456,lincRNA
ENSDARG00000011821,protein_coding
ENSDARG00000095576,protein_coding
ENSDARG00000035875,protein_coding
ENSDARG00000057074,protein_coding
ENSDARG00000075181,protein_coding
ENSDARG00000077950,protein_coding
ENSDARG00000079355,protein_coding
ENSDARG00000044251,protein_coding
ENSDARG00000096398,protein_coding
ENSDARG00000003144,protein_coding
ENSDARG00000016968,protein_coding
ENSDARG00000090063,protein_coding
ENSDARG00000033789,protein_coding
ENSDARG00000017522,protein_coding
ENSDARG00000077860,protein_coding
ENSDARG00000052097,protein_coding
ENSDARG00000098675,TR_J_gene
ENSDARG00000045015,protein_coding
ENSDARG00000101490,protein_coding
ENSDARG00000008100,protein_coding
ENSDARG00000041340,protein_coding
ENSDARG00000087757,protein_coding
ENSDARG00000110990,lincRNA
ENSDARG00000092491,protein_coding
ENSDARG00000045873,protein_coding
ENSDARG00000088072,protein_coding
ENSDARG00000096208,protein_coding
ENSDARG00000070874,protein_coding
ENSDARG00000045641,protein_coding
ENSDARG00000103025,protein_coding
ENSDARG00000061439,protein_coding
ENSDARG00000102553,TR_J_gene
ENSDARG00000104269,protein_coding
ENSDARG00000052520,protein_coding
ENSDARG00000018542,protein_coding
ENSDARG00000074253,protein_coding
ENSDARG00000078768,protein_coding
ENSDARG00000100858,protein_coding
ENSDARG00000062357,protein_coding
ENSDARG00000019135,protein_coding
ENSDARG00000068711,protein_coding
ENSDARG00000043002,protein_coding
ENSDARG00000090854,protein_coding
ENSDARG00000056683,protein_coding
ENSDARG00000012446,protein_coding
ENSDARG00000078567,protein_coding
ENSDARG00000021444,protein_coding
ENSDARG00000029263,protein_coding
ENSDARG00000030472,protein_coding
ENSDARG00000042515,protein_coding
ENSDARG00000042018,protein_coding
ENSDARG00000036943,protein_coding
ENSDARG00000015476,protein_coding
ENSDARG00000089954,protein_coding
ENSDARG00000002355,protein_coding
ENSDARG00000069537,protein_coding
ENSDARG00000044457,protein_coding
ENSDARG00000087798,protein_coding
ENSDARG00000101106,protein_coding
ENSDARG00000093521,protein_coding
ENSDARG00000045443,protein_coding
ENSDARG00000058958,protein_coding
ENSDARG00000019293,protein_coding
ENSDARG00000094455,lincRNA
ENSDARG00000097849,lincRNA
ENSDARG00000078167,protein_coding
ENSDARG00000115890,protein_coding
ENSDARG00000101085,protein_coding
ENSDARG00000007250,protein_coding
ENSDARG00000113690,protein_coding
ENSDARG00000011449,protein_coding
ENSDARG00000099200,protein_coding
ENSDARG00000040250,protein_coding
ENSDARG00000044753,protein_coding
ENSDARG00000006560,protein_coding
ENSDARG00000074302,protein_coding
ENSDARG00000061371,protein_coding
ENSDARG00000063574,protein_coding
ENSDARG00000086471,protein_coding
ENSDARG00000002377,protein_coding
ENSDARG00000052129,protein_coding
ENSDARG00000098029,protein_coding
ENSDARG00000097268,lincRNA
ENSDARG00000059773,protein_coding
ENSDARG00000095453,protein_coding
ENSDARG00000097673,lincRNA
ENSDARG00000056740,protein_coding
ENSDARG00000033446,protein_coding
ENSDARG00000099899,protein_coding
ENSDARG00000077253,protein_coding
ENSDARG00000096836,lincRNA
ENSDARG00000105063,protein_coding
ENSDARG00000100694,protein_coding
ENSDARG00000093799,protein_coding
ENSDARG00000052851,protein_coding
ENSDARG00000009844,protein_coding
ENSDARG00000018871,protein_coding
ENSDARG00000102608,protein_coding
ENSDARG00000003818,protein_coding
ENSDARG00000019156,protein_coding
ENSDARG00000038615,protein_coding
ENSDARG00000092774,protein_coding
ENSDARG00000087457,protein_coding
ENSDARG00000034734,protein_coding
ENSDARG00000079283,protein_coding
ENSDARG00000021913,protein_coding
ENSDARG00000105120,protein_coding
ENSDARG00000102929,protein_coding
ENSDARG00000073688,protein_coding
ENSDARG00000090814,protein_coding
ENSDARG00000027141,protein_coding
ENSDARG00000102434,protein_coding
ENSDARG00000099967,lincRNA
ENSDARG00000052142,protein_coding
ENSDARG00000093111,protein_coding
