NM_001001398	ENSDARG00000009351	ENSDART00000016591
NM_001001399	ENSDARG00000005230	ENSDART00000149169
NM_001001400	ENSDARG00000103610	ENSDART00000167839
NM_001001401	ENSDARG00000102874	ENSDART00000159181
NM_001001402	ENSDARG00000058322	ENSDART00000081183
NM_001001403	ENSDARG00000029931	ENSDART00000058958
NM_001001404	ENSDARG00000045132	ENSDART00000066373
NM_001001405	ENSDARG00000074070	ENSDART00000036147
NM_001001406	ENSDARG00000018010	ENSDART00000010104
NM_001001409	ENSDARG00000042535	ENSDART00000062370
NM_001001501	ENSDARG00000000943	ENSDART00000083424
NM_001001501	ENSDARG00000113867	ENSDART00000183222
NM_001001589	ENSDARG00000071691	ENSDART00000014379
NM_001001590	ENSDARG00000003599	ENSDART00000011251
NM_001001591	ENSDARG00000068143	ENSDART00000098357
NM_001001593	ENSDARG00000006316	ENSDART00000003001
NM_001001594	ENSDARG00000099672	ENSDART00000172053
NM_001001595	ENSDARG00000041705	ENSDART00000158784
NM_001001596	ENSDARG00000102525	ENSDART00000162306
NM_001001596	ENSDARG00000115304	ENSDART00000193178
NM_001001724	ENSDARG00000045146	ENSDART00000066388
NM_001001724	ENSDARG00000109761	ENSDART00000186585
NM_001001725	ENSDARG00000027234	ENSDART00000038923
NM_001001725	ENSDARG00000113909	ENSDART00000185224
NM_001001727	ENSDARG00000079323	ENSDART00000010757
NM_001001729	ENSDARG00000103032	ENSDART00000160206
NM_001001730	ENSDARG00000042641	ENSDART00000062551
NM_001001811	ENSDARG00000053569	ENSDART00000075617
NM_001001812	ENSDARG00000071494	ENSDART00000105751
NM_001001812	ENSDARG00000112820	ENSDART00000186072
NM_001001813	ENSDARG00000003027	ENSDART00000132351
NM_001001814	ENSDARG00000041421	ENSDART00000140861
NM_001001815	ENSDARG00000033307	ENSDART00000047569
NM_001001815	ENSDARG00000116125	ENSDART00000182881
NM_001001816	ENSDARG00000098573	ENSDART00000172245
NM_001001817	ENSDARG00000041060	ENSDART00000060157
NM_001001818	ENSDARG00000018174	ENSDART00000128070
NM_001001819	ENSDARG00000070849	ENSDART00000104364
NM_001001819	ENSDARG00000110979	ENSDART00000182194
NM_001001820	ENSDARG00000037178	ENSDART00000054066
NM_001001820	ENSDARG00000112354	ENSDART00000175921
NM_001001822	ENSDARG00000056623	ENSDART00000079144
NM_001001823	ENSDARG00000025421	ENSDART00000156080
NM_001001825	ENSDARG00000002945	ENSDART00000049836
NM_001001825	ENSDARG00000110495	ENSDART00000179963
NM_001001826	ENSDARG00000023062	ENSDART00000036631
NM_001001828	ENSDARG00000009886	ENSDART00000019667
NM_001001829	ENSDARG00000038384	ENSDART00000056002
NM_001001830	ENSDARG00000019746	ENSDART00000126315
NM_001001831	ENSDARG00000087798	ENSDART00000141484
NM_001001832	ENSDARG00000021022	ENSDART00000012919
NM_001001833	ENSDARG00000040556	ENSDART00000192889
NM_001001834	ENSDARG00000045025	ENSDART00000066191
NM_001001836	ENSDARG00000103690	ENSDART00000191333
NM_001001837	ENSDARG00000071496	ENSDART00000105760
NM_001001838	ENSDARG00000104809	ENSDART00000171380
NM_001001839	ENSDARG00000098696	ENSDART00000159359
NM_001001840	ENSDARG00000038687	ENSDART00000134122
NM_001001840	ENSDARG00000112821	ENSDART00000184272
NM_001001841	ENSDARG00000055276	ENSDART00000077612
NM_001001842	ENSDARG00000035904	ENSDART00000052122
NM_001001843	ENSDARG00000036082	ENSDART00000052385
NM_001001843	ENSDARG00000112888	ENSDART00000186968
NM_001001844	ENSDARG00000056621	ENSDART00000079139
NM_001001844	ENSDARG00000113285	ENSDART00000188742
NM_001001845	ENSDARG00000021137	ENSDART00000008043
NM_001001846	ENSDARG00000067591	ENSDART00000097307
NM_001001847	ENSDARG00000058548	ENSDART00000149404
NM_001001848	ENSDARG00000058551	ENSDART00000081431
NM_001001849	ENSDARG00000014496	ENSDART00000184526
NM_001001849	ENSDARG00000110671	ENSDART00000180380
NM_001001886	ENSDARG00000012314	ENSDART00000150159
NM_001001889	ENSDARG00000023472	ENSDART00000081675
NM_001001940	ENSDARG00000038743	ENSDART00000044331
NM_001001940	ENSDARG00000114286	ENSDART00000190183
NM_001001941	ENSDARG00000004173	ENSDART00000048277
NM_001001942	ENSDARG00000019353	ENSDART00000039660
NM_001001943	ENSDARG00000016086	ENSDART00000004923
NM_001001944	ENSDARG00000101900	ENSDART00000163071
NM_001001946	ENSDARG00000091211	ENSDART00000008498
NM_001001946	ENSDARG00000113750	ENSDART00000187519
NM_001001947	ENSDARG00000040485	ENSDART00000059252
NM_001001948	ENSDARG00000103296	ENSDART00000160667
NM_001001949	ENSDARG00000004954	ENSDART00000103523
NM_001001950	ENSDARG00000071497	ENSDART00000105761
NM_001001951	ENSDARG00000009436	ENSDART00000017852
NM_001002013	ENSDARG00000056557	ENSDART00000079042
NM_001002013	ENSDARG00000116045	ENSDART00000185811
NM_001002037	ENSDARG00000019530	ENSDART00000113824
NM_001002037	ENSDARG00000109464	ENSDART00000169594
NM_001002038	ENSDARG00000013335	ENSDART00000148882
NM_001002040	ENSDARG00000010878	ENSDART00000190507
NM_001002041	ENSDARG00000075380	ENSDART00000111528
NM_001002042	ENSDARG00000078214	ENSDART00000167793
NM_001002043	ENSDARG00000021055	ENSDART00000011987
NM_001002043	ENSDARG00000110204	ENSDART00000169241
NM_001002044	ENSDARG00000100947	ENSDART00000187938
NM_001002045	ENSDARG00000018109	ENSDART00000154274
NM_001002046	ENSDARG00000034885	ENSDART00000004514
NM_001002046	ENSDARG00000113480	ENSDART00000191353
NM_001002047	ENSDARG00000053619	ENSDART00000075672
NM_001002048	ENSDARG00000006215	ENSDART00000018261
NM_001002049	ENSDARG00000030349	ENSDART00000041269
NM_001002050	ENSDARG00000013382	ENSDART00000027217
NM_001002051	ENSDARG00000098813	ENSDART00000169993
NM_001002052	ENSDARG00000045696	ENSDART00000067179
NM_001002052	ENSDARG00000111947	ENSDART00000169618
NM_001002053	ENSDARG00000025397	ENSDART00000028217
NM_001002055	ENSDARG00000004785	ENSDART00000006124
NM_001002056	ENSDARG00000014866	ENSDART00000025494
NM_001002057	ENSDARG00000038566	ENSDART00000141771
NM_001002058	ENSDARG00000010487	ENSDART00000011447
NM_001002059	ENSDARG00000045580	ENSDART00000186785
NM_001002060	ENSDARG00000091402	ENSDART00000011192
NM_001002060	ENSDARG00000114640	ENSDART00000188626
NM_001002061	ENSDARG00000038010	ENSDART00000055407
NM_001002062	ENSDARG00000059391	ENSDART00000106527
NM_001002063	ENSDARG00000088862	ENSDART00000125787
NM_001002064	ENSDARG00000007141	ENSDART00000007913
NM_001002065	ENSDARG00000038835	ENSDART00000124773
NM_001002066	ENSDARG00000057911	ENSDART00000080664
NM_001002066	ENSDARG00000110511	ENSDART00000193916
NM_001002066	ENSDARG00000111417	ENSDART00000185234
NM_001002067	ENSDARG00000009753	ENSDART00000017485
NM_001002068	ENSDARG00000044562	ENSDART00000036456
NM_001002069	ENSDARG00000034291	ENSDART00000145554
NM_001002070	ENSDARG00000039578	ENSDART00000057823
NM_001002071	ENSDARG00000102963	ENSDART00000163115
NM_001002072	ENSDARG00000110975	ENSDART00000185381
NM_001002072	ENSDARG00000112087	ENSDART00000183365
NM_001002073	ENSDARG00000070161	ENSDART00000137516
NM_001002074	ENSDARG00000079111	ENSDART00000109883
NM_001002075	ENSDARG00000098529	ENSDART00000161503
NM_001002076	ENSDARG00000044566	ENSDART00000065448
NM_001002077	ENSDARG00000036995	ENSDART00000053773
NM_001002078	ENSDARG00000036316	ENSDART00000052761
NM_001002078	ENSDARG00000117167	ENSDART00000188084
NM_001002079	ENSDARG00000036298	ENSDART00000052730
NM_001002079	ENSDARG00000112818	ENSDART00000187620
NM_001002080	ENSDARG00000104573	ENSDART00000169885
NM_001002081	ENSDARG00000013800	ENSDART00000018475
NM_001002081	ENSDARG00000112203	ENSDART00000187024
NM_001002082	ENSDARG00000019444	ENSDART00000047175
NM_001002083	ENSDARG00000041223	ENSDART00000060426
NM_001002083	ENSDARG00000113102	ENSDART00000188620
NM_001002084	ENSDARG00000034734	ENSDART00000044115
NM_001002085	ENSDARG00000037539	ENSDART00000054664
NM_001002086	ENSDARG00000078073	ENSDART00000109252
NM_001002087	ENSDARG00000043905	ENSDART00000010942
NM_001002088	ENSDARG00000103988	ENSDART00000161578
NM_001002089	ENSDARG00000040854	ENSDART00000031814
NM_001002090	ENSDARG00000054442	ENSDART00000039667
NM_001002091	ENSDARG00000043561	ENSDART00000063950
NM_001002092	ENSDARG00000098803	ENSDART00000164249
NM_001002093	ENSDARG00000058219	ENSDART00000146735
NM_001002093	ENSDARG00000110746	ENSDART00000161659
NM_001002094	ENSDARG00000045658	ENSDART00000145917
NM_001002095	ENSDARG00000045836	ENSDART00000032857
NM_001002096	ENSDARG00000054433	ENSDART00000076627
NM_001002096	ENSDARG00000116553	ENSDART00000192683
NM_001002097	ENSDARG00000041974	ENSDART00000184229
NM_001002099	ENSDARG00000035741	ENSDART00000051849
NM_001002100	ENSDARG00000090369	ENSDART00000149532
NM_001002101	ENSDARG00000036671	ENSDART00000184073
NM_001002102	ENSDARG00000057575	ENSDART00000029695
NM_001002103	ENSDARG00000044373	ENSDART00000051779
NM_001002104	ENSDARG00000024693	ENSDART00000031194
NM_001002105	ENSDARG00000045092	ENSDART00000133703
NM_001002105	ENSDARG00000115530	ENSDART00000191101
NM_001002106	ENSDARG00000015862	ENSDART00000127695
NM_001002106	ENSDARG00000109661	ENSDART00000175422
NM_001002107	ENSDARG00000113961	ENSDART00000185999
NM_001002108	ENSDARG00000055719	ENSDART00000078119
NM_001002110	ENSDARG00000117089	ENSDART00000190839
NM_001002111	ENSDARG00000039820	ENSDART00000058242
NM_001002112	ENSDARG00000101295	ENSDART00000160438
NM_001002113	ENSDARG00000007786	ENSDART00000009858
NM_001002114	ENSDARG00000057882	ENSDART00000080628
NM_001002115	ENSDARG00000070795	ENSDART00000104252
NM_001002115	ENSDARG00000113962	ENSDART00000188613
NM_001002116	ENSDARG00000055903	ENSDART00000078313
NM_001002117	ENSDARG00000019877	ENSDART00000030622
NM_001002118	ENSDARG00000035573	ENSDART00000144303
NM_001002119	ENSDARG00000104682	ENSDART00000170872
NM_001002120	ENSDARG00000020279	ENSDART00000016629
NM_001002121	ENSDARG00000001241	ENSDART00000166448
NM_001002122	ENSDARG00000044405	ENSDART00000065212
NM_001002122	ENSDARG00000117012	ENSDART00000191113
NM_001002123	ENSDARG00000113643	ENSDART00000189296
NM_001002124	ENSDARG00000037892	ENSDART00000055228
NM_001002125	ENSDARG00000003058	ENSDART00000010494
NM_001002126	ENSDARG00000030340	ENSDART00000187575
NM_001002127	ENSDARG00000069910	ENSDART00000102118
NM_001002128	ENSDARG00000027916	ENSDART00000038149
NM_001002129	ENSDARG00000056479	ENSDART00000078980
NM_001002129	ENSDARG00000109723	ENSDART00000190762
NM_001002130	ENSDARG00000040265	ENSDART00000058908
NM_001002131	ENSDARG00000020454	ENSDART00000005431
NM_001002133	ENSDARG00000028027	ENSDART00000038133
NM_001002133	ENSDARG00000111657	ENSDART00000183406
NM_001002133	ENSDARG00000113104	ENSDART00000190056
NM_001002134	ENSDARG00000024954	ENSDART00000144609
NM_001002135	ENSDARG00000044241	ENSDART00000146619
NM_001002137	ENSDARG00000089626	ENSDART00000128772
NM_001002138	ENSDARG00000073874	ENSDART00000101809
NM_001002139	ENSDARG00000043509	ENSDART00000063870
NM_001002140	ENSDARG00000069386	ENSDART00000100931
NM_001002141	ENSDARG00000102207	ENSDART00000170366
NM_001002142	ENSDARG00000073750	ENSDART00000108748
NM_001002143	ENSDARG00000031299	ENSDART00000049831
NM_001002144	ENSDARG00000014148	ENSDART00000125093
NM_001002145	ENSDARG00000043451	ENSDART00000063786
NM_001002146	ENSDARG00000033370	ENSDART00000044647
NM_001002147	ENSDARG00000044751	ENSDART00000065772
NM_001002147	ENSDARG00000109625	ENSDART00000186533
NM_001002148	ENSDARG00000017605	ENSDART00000026694
NM_001002149	ENSDARG00000024479	ENSDART00000028906
NM_001002150	ENSDARG00000052000	ENSDART00000073726
NM_001002151	ENSDARG00000045676	ENSDART00000171235
NM_001002152	ENSDARG00000012553	ENSDART00000050671
NM_001002153	ENSDARG00000036329	ENSDART00000124437
NM_001002153	ENSDARG00000111888	ENSDART00000192350
NM_001002154	ENSDARG00000016128	ENSDART00000026120
NM_001002155	ENSDARG00000010516	ENSDART00000002595
NM_001002155	ENSDARG00000110263	ENSDART00000178274
NM_001002156	ENSDARG00000041592	ENSDART00000060971
NM_001002157	ENSDARG00000044753	ENSDART00000149371
NM_001002157	ENSDARG00000110992	ENSDART00000185745
NM_001002158	ENSDARG00000037961	ENSDART00000055324
NM_001002158	ENSDARG00000110075	ENSDART00000184074
NM_001002159	ENSDARG00000075297	ENSDART00000113706
NM_001002159	ENSDARG00000116975	ENSDART00000189190
NM_001002160	ENSDARG00000005738	ENSDART00000143436
NM_001002160	ENSDARG00000112347	ENSDART00000183449
